hora,latitud,profundidad,fecha,magnitud,longitud
05:06:14,-71.96, 10 km,14-08-2011,3.7 Richter,-13.48
06:35:06,-71.96, 18 km,31-08-2011,3.7 Richter,-13.48
20:29:39,-72.86,  9 km,07-09-2011,3.7 Richter,-13.76
05:23:07,-76.51, 21 km,29-06-2011,3.7 Richter,-12.28
15:20:16,-77.09, 54 km,11-07-2011,3.9 Richter,-12.52
16:33:12,-76.88, 74 km,02-10-2011,4.0 Richter,-12.57
03:23:49,-75.97, 74 km,18-08-2011,4.0 Richter,-13.58
14:30:09,-77.45, 63 km,01-08-2011,4.0 Richter,-11.77
08:36:18,-79.32, 68 km,26-09-2011,4.0 Richter,-09.00
11:45:50,-76.87, 49 km,26-06-2011,4.0 Richter,-12.54
06:45:09,-76.17, 49 km,07-08-2011,4.0 Richter,-14.00
21:50:07,-77.76, 64 km,16-09-2011,4.0 Richter,-11.62
14:02:20,-77.39, 31 km,30-07-2011,4.1 Richter,-12.77
13:59:05,-76.30, 77 km,30-06-2011,4.1 Richter,-13.47
10:47:21,-74.29, 34 km,23-08-2011,4.2 Richter,-16.15
03:29:28,-74.59, 59 km,23-09-2011,4.2 Richter,-16.05
12:32:18,-76.19, 78 km,04-09-2011,4.2 Richter,-13.86
03:54:44,-76.68,104 km,08-07-2011,4.2 Richter,-11.61
10:07:51,-76.96, 54 km,13-07-2011,4.2 Richter,-12.43
02:15:23,-71.33, 37 km,11-08-2011,4.2 Richter,-16.96
15:47:24,-80.36, 40 km,20-06-2011,4.2 Richter,-05.13
20:23:04,-75.94, 20 km,04-08-2011,4.2 Richter,-10.02
15:01:09,-79.38, 55 km,28-06-2011,4.3 Richter,-09.45
10:15:09,-76.04,100 km,23-09-2011,4.3 Richter,-12.04
23:54:32,-79.45, 50 km,22-07-2011,4.3 Richter,-09.58
17:06:06,-80.87, 55 km,14-09-2011,4.3 Richter,-03.70
09:56:11,-78.89, 61 km,25-08-2011,4.3 Richter,-08.78
16:09:15,-74.81,175 km,17-09-2011,4.4 Richter,-07.84
12:40:49,-77.21, 38 km,11-09-2011,4.4 Richter,-13.26
01:36:20,-73.79, 45 km,31-08-2011,4.4 Richter,-16.21
20:57:29,-75.95, 52 km,17-08-2011,4.4 Richter,-14.23
05:21:39,-70.79,118 km,23-09-2011,4.5 Richter,-17.26
00:42:11,-76.80, 54 km,31-07-2011,4.5 Richter,-13.30
07:37:37,-78.84, 52 km,21-08-2011,4.5 Richter,-10.27
19:59:07,-75.32, 36 km,25-09-2011,4.5 Richter,-16.29
16:37:03,-74.36,169 km,29-08-2011,4.5 Richter,-08.37
10:41:28,-76.98, 26 km,29-06-2011,4.5 Richter,-06.29
09:11:58,-72.14, 15 km,12-08-2011,4.6 Richter,-15.84
04:32:28,-76.29, 48 km,12-09-2011,4.7 Richter,-14.03
15:49:07,-74.67, 96 km,24-07-2011,4.7 Richter,-14.90
00:03:34,-76.18, 42 km,02-07-2011,4.7 Richter,-14.65
03:46:05,-79.86, 90 km,02-09-2011,5.0 Richter,-03.80
00:35:07,-81.64, 30 km,25-09-2011,5.0 Richter,-06.15
18:16:50,-74.61,150 km,24-08-2011,5.1 Richter,-07.67
18:25:09,-76.63,127 km,25-07-2011,5.1 Richter,-05.25
20:58:27,-76.91,121 km,26-07-2011,5.1 Richter,-02.87
16:36:01,-68.30,117 km,20-06-2011,6.5 Richter,-21.90
17:46:11,-74.77,149 km,24-08-2011,7.0 Richter,-07.67
